"candidat";"vote";"DimACP1_1";"DimACP1_2";"DimACP2_1";"DimACP2_2";"Médiane";"Écart inter-quartile";"Rapport interdécile";"Écart-type";"Gini";"Rapport interdécile (log)";"inegalitesH"
"LePen";23,6649038419647;-1,21826490240478;0,123774341200882;-2,08923447169726;1,16025056650956;19435;12794;4,2;11543,32;0,2892;1,43508452528932;"inférieur"
"LePen";19,626069478449;-1,37870433099444;-1,27606719256704;2,15071815248203;1,58233340354849;27492;18693,5;4;36363,17;0,3408;1,38629436111989;"inférieur"
"LePen";18,6649068266741;-1,79480467185606;-2,42145690192447;3,17230537861465;0,777341262691338;27082;16,2;24261,82;20039,59;0,4407;10,0966592002942;"supérieur"
"LePen";21,248365157216;1,20251818468059;-1,11082967298307;-2,25273283941097;-0,0473886295624164;16546;14570;9,5;12117,81;0,3627;2,2512917986065;"supérieur"
"LePen";8,47881077784869;6,14087964332779;1,75321440719265;-6,53306628510683;-0,756102307778729;15460,5;16,2;24261,82;20039,59;0,4407;10,0966592002942;"supérieur"
"LePen";11,6395946370933;6,15118520260023;1,87463702748439;-5,34400947766411;-2,21636301993547;7273;16,2;24261,82;20039,59;0,4407;10,0966592002942;"supérieur"
"LePen";24,2855343768325;-1,30139377512333;0,340967950912235;-0,661937617933682;2,7855633862938;18691;11680;3,8;14206,44;0,2928;1,33500106673234;"inférieur"
"LePen";21,8282513360327;-1,9597996689704;1,06146234220567;-1,82361819987356;2,37041914574833;20105,5;12085;3,6;12594,54;0,2831;1,28093384546206;"inférieur"
"LePen";19,930524229627;0,113008235265756;1,75998515102868;-2,80318914196173;0,90878997916055;16298;13132;8,7;11307,72;0,3458;2,16332302566054;"inférieur"
"LePen";24,6306794105258;-0,333636961986837;0,740016393315509;-2,23638525689203;0,819147002723418;15273,5;14296,5;10,2;12270,75;0,3758;2,32238772029023;"supérieur"
"LePen";24,2445990269028;-2,84331408997062;2,1251236356416;-1,43981460028318;2,38725679305947;17229;12911;5,5;10325,15;0,3142;1,70474809223843;"inférieur"
"LePen";23,5519586121909;-0,589562249227066;-0,0212424006737128;-1,16863366512382;1,86948391337634;20127;11995,5;3,5;11414,92;0,2683;1,25276296849537;"inférieur"
"LePen";23,0552473912786;0,311468409608929;1,36803379526388;-3,45657858840423;0,552917770284069;16770;15078;9,7;12412,65;0,3637;2,27212588550934;"supérieur"
"LePen";23,6113961468517;0,739909571015678;-0,303252975053842;-4,01655769887961;2,66058137544617;19086;12678;4,3;11091,48;0,2999;1,45861502269952;"inférieur"
"LePen";26,8530620158602;2,04884360607731;0,546686472717925;-4,27065843308017;0,99923439823869;14404;14821;52,8;11243,77;0,401;3,96651119071222;"supérieur"
"LePen";19,0941357949253;-0,360783391554783;1,85165231908101;-3,72786146080143;0,934892752978019;13752;13799;10,2;12079,45;0,3952;2,32238772029023;"supérieur"
"LePen";21,9488963435648;-1,27102425611231;0,112193369857082;-1,8931188236914;1,75771761374491;19465;15061;5,4;15203,62;0,3433;1,68639895357023;"inférieur"
"LePen";24,3093353715873;1,5173222837321;3,31352730016397;-2,81938316116799;1,32030532045958;17169;16,2;24261,82;20039,59;0,4407;10,0966592002942;"supérieur"
"LePen";19,0542525669803;-2,41109357212512;0,192325436918329;3,9274402725745;-1,00434455747398;28729;19257;4,5;18452,96;0,3102;1,50407739677627;"inférieur"
"LePen";20,4234710444071;2,0718306739657;0,0817258559103744;-1,22722598493896;-0,70243614419912;22531;16,2;24261,82;20039,59;0,4407;10,0966592002942;"supérieur"
"LePen";18,79095414616;-3,49809037654272;2,39768765533472;1,9450295457666;1,91725422888578;27734;16,2;24261,82;20039,59;0,4407;10,0966592002942;"supérieur"
